,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
2615,21388046.072198868,81738734.00229517,764426173.0675457,3025343144.6391187,5139881062.257111,6740331319.7751665,8164050174.190433,9452869387.657759,10205429342.391981,11739396360.457695,9139841185.978325,4839865038.690223,2711634357.582791,1269082816.7140663,828245085.1247458,30349172659.149834,58597055245.26467,45555899006.280846,24546569795.23384,9921347301.769875,0.0
1297,148122484.02833098,601741352.0203844,5709342570.101226,21957765881.915806,38088660590.70497,51635650341.276665,64691480063.09087,77449969523.89049,86831063514.17677,106694652557.7556,88410626072.8865,55368184989.44966,32787580930.67949,115083642332.48315,103624867462.4218,3947023397322.499,4906751033933.318,2944375303413.6694,1398698844480.593,519340323033.97327,0.0
3026,71359231.78239925,138963883.39416635,660028356.8815137,2331553744.742374,3721402937.6737175,4785391868.893662,5729672020.319591,6536406245.041696,6960707602.552426,7931674713.634705,6112320117.896461,3175882315.0276155,1751549262.478611,408588574.00732553,187172970.10273933,3160862536.225995,6027362737.2825775,4672810550.232827,2514956338.1463842,1015960571.5173293,0.0
5223,2307135081.8740497,2303664243.7957735,1954948983.0017753,2418453290.5972595,2505917784.664655,3453624500.3705363,5047676162.83297,6528139877.744962,7291093506.421361,9212602207.625198,7766690966.619575,4060341997.6189113,2465270932.1715627,507768514.5903831,208049867.97631505,1171758525.7626128,2056345349.3768494,1559699232.8732517,831590895.180008,334260533.2886567,0.0
684,411366857.22519803,619016276.8973786,1706563014.8391604,4853173334.801194,6786280182.033292,8380602895.6205845,9893200548.069635,11236581643.356276,11858110782.788054,13411932189.291824,10403749624.881998,5444988746.630343,3025407632.530064,624723572.757794,251334395.09898517,2093225901.613237,3919447311.8415666,3026336140.6284785,1626156911.2457368,656422475.9464321,0.0
2159,652254213.9426966,1029817024.5781683,3586753943.944348,11210039716.887556,16211731335.813585,20142205196.1939,23801780612.70102,27196742670.932266,29022294001.481968,32773746527.55842,25767662659.934216,14404412407.536205,8069267092.609517,11768842065.236658,9547012357.146606,276134085242.5667,428366642490.4693,295813134084.4493,150550314762.48947,58589945324.55544,0.0
2740,2097125.5907937537,50920593.293505214,667685109.4544202,2703148378.109984,4715229841.193768,6247170122.5811615,7624613856.189285,8813523284.40044,9548909506.565023,11025927846.057785,8585012577.396363,4528930348.599984,2520320867.069414,678674293.9794974,347238016.75230366,12871597707.870426,25217428275.756886,19670704701.759228,10614204904.989105,4293129925.9103885,0.0
4497,81096045.67256962,157858401.72998336,709963165.6505698,2404005308.1520295,3682131679.3593864,4670416098.344727,5557326772.179331,6326419645.926325,6747742834.680631,7648469364.010311,5919220679.934247,3132370557.4382625,1727839626.5254602,752283290.3157247,479130523.95127195,14054467771.277517,26812661745.93346,20787169240.99948,11187371098.892916,4519129465.220448,0.0
4702,177078913.12941188,237527752.76460746,540277055.6747144,1481102856.5036268,2039564979.737823,2489434780.3719563,2895028108.3640914,3222994660.3250127,3347783217.2186527,3731082949.49114,2853547690.5037346,1484840954.9815228,808374327.4794252,346229322.2258636,221502422.7662184,4781206227.970988,8867931832.09032,6829041768.573196,3664717603.2301583,1478232771.3158805,0.0
2415,7292649603.285305,6922418822.417832,9698541444.616264,18035965052.744183,18505071660.540703,18924271690.397484,19984118789.70303,20373583020.681507,19333301064.79803,19032492779.81015,14269543866.561413,8620697916.076483,4809485008.881862,21352215971.32694,19545544524.58904,391218835075.21497,557374018205.7448,371366027923.8526,185585217158.88132,71326159141.02888,0.0
2170,531532514.8630838,652974417.3376747,1439387311.7250223,3906436564.1561317,5682558940.459427,7056798900.9937725,8282702089.39318,9353067046.53235,9874522025.118519,11051920117.63117,8539142173.097099,4515042664.081481,2519102221.436472,1464595762.7085633,1017939780.6751481,28420988506.010273,53580135680.23771,41423008992.745384,22266313553.01245,8988989267.155445,0.0
3626,100153566.79415111,204246932.24791527,793529958.6783713,2515059543.629672,3514974293.632726,4251066567.594711,4883184015.092566,5451742821.363363,5723538519.8100815,6286306725.808474,4822013829.09862,2539867354.867256,1398676447.7393413,322982773.2793227,145629775.84298435,2045523259.9138424,3863290437.164907,2988449562.448337,1606919788.5082555,648851409.3326228,0.0
1336,6034446086.460663,5515062580.5335865,5452415149.530728,7447861594.409852,7440498608.621857,7742246460.092314,8007545332.547162,8217936309.401286,7969463922.782209,8092565564.153388,6016676569.05759,4253773660.255375,2303106388.4755154,20058557354.702526,19582465343.21432,399651574127.6485,413337799593.5284,222989924902.1192,100553068411.88516,36049058219.00123,0.0
3411,33927196.862898886,111043649.88009083,781761446.2927035,2891566445.739845,4709384425.374512,6081947955.952875,7315904248.717364,8444615945.572628,9083158584.582237,10407357969.866823,8077168300.626334,4228231351.4390864,2381667975.0070605,636289788.9514962,322148217.68897736,7758355768.521094,14913716670.931784,11583060208.875597,6238768233.144712,2521146182.973676,0.0
1306,20271583082.936024,20440083110.297455,31963256650.13585,79536319607.74359,115643512442.52138,146965250520.05905,178714889129.20847,207676723414.53284,225600210851.49728,261957742641.40314,209272710810.30423,119845375006.46799,68593889835.15526,140892187536.81195,126842371071.64252,3160093858966.4966,4877502896437.813,3413884472085.1885,1753134426901.3223,686822286889.9276,0.0
3354,266359922.32314914,453344237.84078145,1366490635.007592,3972665167.3427544,5143606165.422419,6026411975.477488,6817227863.343262,7552581672.9396715,7858069901.427334,8538522251.460299,6609424599.315158,3547095271.5982375,1947250868.0762458,578799895.4326128,307886102.5486792,5957312481.526803,11244565448.780653,8696260361.347387,4675441599.655673,1887725815.7690735,0.0
3473,25336148.14603962,75577164.88742612,520581797.8744971,1930165113.3393419,3152568012.254089,4094020172.881231,4945478875.288984,5700235710.1663,6113712227.642072,7031990213.1384115,5439200170.775071,2827863830.456248,1579728006.0345025,453747097.30591667,240270159.9820693,5556958865.575405,10611534366.790396,8228980469.020397,4429303942.580846,1789345996.576818,0.0
