,mass,dustmass,logmet,sfr100
2615,350828113.85647714,1175296.461215946,-0.2122601794505796,3.508281138564777e-05
1297,2357459409.16381,8799372.223173866,-0.09617256461885748,0.2379054825494084
3026,219411936.69219935,635684.9226778556,-0.286977616330882,2.1941193669219956e-05
5223,54877507.06845844,387571.855767171,-0.5071271301244128,0.023562107562260525
684,319413606.00024116,805899.5543335272,-0.2644422354336502,0.03848806600608427
2159,661783704.9813704,2858922.833894712,-0.14934682594312118,0.04288114437895574
2740,298718162.1009153,973613.2820894105,-0.2629811493660435,2.987181621009157e-05
4497,190547828.43023515,702147.2225008006,-0.28949755865264987,1.9054782843023537e-05
4702,83568672.24057968,351955.1974845249,-0.3646471463067679,8.356867224057974e-06
2415,339525577.5710881,1923586.270518408,-0.2709328545726631,0.020774205195853514
2170,280330856.9986576,1289670.6139125372,-0.31271614070152054,0.02292595475113152
3626,140588416.9518206,691391.7874810384,-0.36814411418645254,1.4058841695182085e-05
1336,77181788.6526735,432962.5448740015,-0.6676121227599507,0.05814717286772188
3411,325278127.05422044,779438.1521419843,-0.23595801129200367,3.252781270542205e-05
1306,5725498087.836523,19501423.94799361,-0.07688136502794839,0.25739494264771523
3354,132359517.19702317,1039207.876695999,-0.23583932529705712,1.3235951719702307e-05
3473,208802302.87381923,1078086.4830005202,-0.2757258083561094,2.088023028738189e-05
2372,300275780.4467153,1355336.4828715532,-0.2147249706281675,3.0027578044671572e-05
793,309584653.07204247,524268.10797021474,-0.3247119801807276,3.095846530720426e-05
4890,55584798.405697234,398110.0082804338,-0.28653509566252994,5.558479840569728e-06
2025,190378242.8007226,571626.3722719814,-0.30059890798260713,1.9037824280072252e-05
440,5762935623.605574,27783275.007088065,-0.06907131196147896,0.7586104725165245
1602,98016566.88722831,663494.3711524657,-0.3539753753345743,9.80165668872284e-06
1220,879340274.0630164,4919954.99132232,-0.1541393595815029,0.04508843034982366
4362,66759253.1049033,526516.5099398607,-0.5221905198868638,0.022801789247377458
4238,59941805.70267854,220803.19938263993,-0.4849681234970701,5.994180570267857e-06
882,17558871598.928314,7404658.358422087,-0.14809370368228905,0.0017558871598928293
4536,66344649.9801984,406401.4226393554,-0.3568220419679312,6.634464998019837e-06
3567,116003041.93750158,552464.7600781866,-0.3365463646075113,1.1600304193750136e-05
2446,381473115.71088815,1864627.7923469632,-0.30108316839060595,0.038154597025382826
4477,50946500.305019654,32551.761039695637,-0.7147181568876203,5.094650030501963e-06
881,23900722698.41523,68779234.44675824,-0.04502426533815891,0.46462747844679614
243,17873749799.890297,802433.5819132786,0.057266784298195095,0.001787374979989029
2447,763917833.0591546,5299168.824918361,-0.1271511071239551,0.04395334143427852
5276,58524096.142905824,186802.5841726531,-0.3385359279000641,5.852409614290587e-06
4833,70859431.92335014,552346.656286257,-0.2951401199516453,0.018090249349294863
2463,642480702.7538517,4050073.4644947518,-0.2600286775818772,0.1117849945917097
2387,125915724.53301248,149124.43881984672,-0.35195549090491685,1.2591572453301244e-05
1175,298929589.20587707,1465103.7312399477,-0.22950970894948863,0.024467321943866038
2865,282252378.91729784,888748.2374896179,-0.22822026952780658,0.018770624790471074
2107,801093118.9903979,6520413.35420689,-0.2605977376873171,0.22260372296811412
900,109219870.0995761,702614.019503836,-0.8048156111210738,1.092198700995763e-05
1227,3390530736.720993,22407115.18882775,-0.17319300692870743,0.6094579668686572
4609,110150856.27203315,209304.95776375852,-0.27214857989387514,1.1015085627203313e-05
4649,80115908.4929313,523565.1979836727,-0.3384000050539136,0.066099935339659
3281,101197663.19762933,344250.9619783838,-0.32901012843368693,1.0119766319762935e-05
2601,326143344.7854289,1064491.474361495,-0.1564205763794637,0.046321016861191916
3457,459540826.37977755,1568877.6354926936,-0.1181076565983088,4.595408263797768e-05
3500,74748800.29349701,148279.0067539726,-0.4552885876529005,7.474880029349707e-06
914,2335389182.3970833,8879514.81543884,-0.032484403707770185,0.2564586936513156
441,56053630682.37962,324104330.49838483,0.038311859100736964,0.13183498772813168
3168,254813222.65536368,2143940.6093939207,-0.3878870546413464,0.046940161688292174
3699,185428817.35790431,763505.6704102106,-0.38722895612001357,1.8542881735790416e-05
4281,59662181.76210447,422081.40062641376,-0.4793451750633819,0.01904699666301544
1979,1436667879.3857198,6862200.945265297,-0.1576815465769042,0.05973734975052657
4026,119004067.84422888,3082.292121288009,-0.385936029585494,1.1900406784422886e-05
1797,1706625466.0334778,10974070.621611275,-0.10073416037789763,0.14494606439302496
4913,77588564.68388756,325573.5016076624,-0.35378282939384287,7.758856468388763e-06
1127,5106802252.868198,37635886.81692721,-0.12719440602263124,0.731522689321214
