,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
1297,222096045.05971116,357624178.02312464,1008049654.4824522,2780410583.6518707,3681527020.741847,4234799808.741333,4530580016.026244,4771219505.873657,4824558112.470339,4833569874.240035,3464605108.5503373,1741777736.0759246,923614843.4715456,203696856.5795346,94043506.2922952,1209872765.194793,2238572366.6884246,1722728598.0298004,924245261.0360401,372757512.20388055,0.0
1507,1345051452.9695494,1552622978.3802967,2707176089.280908,6249946920.153308,7442014485.800381,8271959579.865295,8730556569.409117,9065491746.670633,8985774346.545422,8874592390.143356,6338372773.3184,3200623661.2090263,1690780496.6142344,890959700.2711798,647361061.9891858,13563386475.916094,19205809023.09079,12634424568.984152,6278035824.549318,2404264775.673484,0.0
684,1649114011.5448878,2733001693.6987977,8887179753.411892,26655471805.9859,38319904968.72538,46023892867.32827,51089661606.755905,54995688148.32907,57073978588.9718,60427860039.57252,44430257061.404236,22710579903.824535,11955127910.783016,3428581269.160046,1865140138.6166966,37743139057.96177,70701707226.97804,54538500391.69165,29286054370.77219,11815290176.753464,0.0
1336,5759328967.360877,5734982205.531097,7091170164.629429,13762302132.479351,16252972752.359047,18270983613.017612,19725973897.991833,20765961953.604794,20837040014.212383,21593211560.164864,15785404079.033693,8341240782.106086,4385609047.920747,7553378033.511187,6867854818.247346,150191639157.40454,147626486885.11707,76508339633.15753,33833046861.28274,11971386852.635464,0.0
1306,1894537767.8250122,2202093486.5943494,4023355859.1194496,10201560345.73561,13641288400.088457,16157900904.385098,17939879606.840218,19280335690.462646,19835434782.661705,21068202953.638428,15630282672.799633,8125197831.885343,4235349290.8956604,2565444711.4505367,1880128872.5268521,44058023379.10552,68493771837.570595,47871685054.89761,24546173877.1804,9606829331.70872,0.0
793,1025270731.2066256,1343272073.4222584,2849843812.4966006,7128855686.980082,9153624398.248325,10430386090.372671,11108109897.214592,11638156241.299034,11693719062.249123,11668938565.63984,8337974548.635941,4175151240.7728825,2216861527.4988537,533471396.6737775,266283144.83616155,3770904543.2920704,6653970660.380868,4993151827.439659,2645952951.395897,1058357734.9311551,0.0
440,41055621689.66164,35081666113.36284,43319742098.117195,88094731860.79132,108887219256.84659,124951093566.16602,136636057730.6679,145873522789.36652,148961857535.7798,156302472300.69833,117157084736.34708,80817649905.46504,43770018808.250496,375689436613.2579,422788884272.3121,2960265404558.4385,2764274766240.3706,1473682174058.5842,666453147173.8214,239868655739.00262,0.0
1602,827892262.9422258,1216781281.1392326,2744031314.8673325,7032595051.206371,8559032514.370024,9542118544.124556,10039714094.683228,10452455579.731684,10353085269.26214,10126342446.766823,7244663922.331873,3658413443.5597005,1938541273.238332,591760695.5931913,339195448.98877406,6420352844.555724,11413238635.159004,8549224592.666407,4520911220.661941,1804623684.6726499,0.0
1220,9901946174.665438,8279848696.133873,6437636022.181277,6302323364.814044,5250027950.076731,4828018042.467266,4573906492.321349,4281971563.1327662,3798326734.144773,3372813929.3543706,2346998196.836767,1187737880.7351375,638763819.4728187,947306475.8311673,903539054.9318067,13731883049.918697,14268896486.254381,8176130277.848065,3859731777.648674,1436124918.9007614,0.0
882,11033710448.730562,11056253894.706522,14898415131.174105,29881310063.57728,35442438628.08828,39599436365.36805,42263163423.72284,44280845132.140274,44436940206.24803,45306936191.73663,32988788658.646595,17292079546.678585,9087332784.435953,11600600426.782873,10103067141.790464,219447553186.2646,267868575719.46484,162538140395.65604,77888767278.6822,29131350224.135345,0.0
