,mass,dustmass,logmet,sfr100
1297,105679191.83385502,44492.28922747822,-1.333054935863436,1.0567919183385499e-05
1507,131772922.13881361,40596.99956847702,-1.2865513960787465,0.05539521713567896
684,1217549975.562553,510239.0800614734,-0.8701413210447981,0.00012175499755625547
1336,285273426.92541414,108027.49769333808,-0.9725903197512373,0.14105358465521362
1306,259680404.26960212,199667.77149437502,-0.854697241205395,0.057434636937856796
793,221364169.08538455,87746.87109921376,-1.2276202131049752,2.2136416908538423e-05
440,2061430089.7517855,1673632.289031547,-0.7612530638147784,0.3640627133128154
1602,136069143.349339,36493.32276387044,-1.2964335707030044,1.3606914334933926e-05
1220,71867256.98000586,15934.601985943167,-1.3017385671343147,0.024698662833199134
882,638398209.7973143,269453.914433704,-0.9644495688960883,0.1962272082033604
881,828766924.8495468,1205145.3298091153,-0.7588786563091731,0.3685101767475406
243,14435247726.770977,16208295.275170978,-0.38965516494766594,0.7946878425970414
1175,141830955.24512115,60730.13652413871,-1.3490366881184437,1.4183095524512106e-05
900,68065349.02887718,39910.76961802672,-1.2969317500336102,6.806534902887722e-06
1227,263321017.6153464,104179.66067856687,-1.1356812531586038,0.02502415062002284
914,501097689.694314,252808.9764585721,-0.9242281793186036,0.08473240392232537
441,6793763982.761232,3245598.5515059,-0.5639878404237082,0.12736357954963054
1797,86584182.04611412,31910.456575563767,-1.1229365920644832,8.658418204611407e-06
990,51825440.84484962,41123.49363051186,-1.487973682038274,5.1825440844849655e-06
1009,722070884.4483049,291145.89005177165,-0.8746031532149112,7.220708844483046e-05
547,4059483011.0528746,3173513.1806951496,-0.45570497728495496,0.06221661338001024
423,891640245.7543881,504654.18349650933,-1.0968984711009455,0.13979202240752184
498,3423120442.8900065,5774572.10520413,-0.5756722518081396,0.2336035593127447
1686,65826955.34555514,18526.744110597298,-1.328868269545485,6.5826955345555196e-06
851,461267311.2526809,396260.8535598712,-1.0149016435768803,0.19148313845567136
1751,364128879.53595006,71798.26311102188,-0.7590795199860823,3.641288795359505e-05
1772,395472737.8774859,0.010802302520429404,-1.031441732220351,3.954727378774863e-05
212,21086070890.19856,64891.79458988836,-0.32337139943361676,0.03594801059860298
1158,58354680.41101087,19860.426813834627,-1.6082682843740972,0.026778155611857018
443,2159720274.529022,6917786.758234518,-0.6351877044907461,0.898841828998388
1133,124535879.23493397,51007.68483491684,-1.2666889067271399,1.2453587923493407e-05
1567,72387178.93522012,22143.477838531508,-1.3332776629938612,7.238717893522018e-06
1393,61804805.86943517,24577.422638221986,-1.3547445904494677,0.028735796511090258
512,1666813524.1857,2765422.4505117843,-0.7896305746808573,0.455317956092299
559,631276602.3149698,531427.4197855289,-0.9829370706201578,0.4093286791022952
300,7449796641.380731,16218837.817219492,-0.557289880019677,1.0213718667495946
676,1674696322.1307578,3027108.701891927,-0.5907693185624714,0.5745383633879301
312,9508997355.46366,11499367.87887484,-0.41568852519259875,0.45239063131046736
1432,51216645.74236252,13940.89080104675,-1.4520067410415807,5.1216645742362545e-06
1193,266320594.59242392,142171.96076618755,-1.0202513554918564,0.08496928914147568
482,1173091675.595702,1735051.6631393128,-0.9075506134759952,0.6205353421757593
1520,51107190.30199106,20457.280445613098,-1.4268961852857776,0.027706551392163527
1327,118491746.3808019,23119.73299266056,-1.3416467634792697,1.1849174638080189e-05
94,12650949809.540176,32858871.201597586,-0.5714183077305455,3.5097686409114273
1307,146041163.72271055,72218.31931266963,-1.2145244067875096,0.027523010925278958
1369,323869817.61459637,100623.4366680773,-1.1023706061416703,3.238698176145964e-05
70,12912717618.104685,37430386.174962305,-0.6009245982117151,4.50478435091999
927,168184419.58200896,82135.79140149849,-1.179451742375578,1.6818441958200913e-05
714,199576532.60943887,179081.43520365143,-1.1199251711951763,0.026404972127145324
462,2928482183.8005238,9689381.407518327,-0.4918588732726379,0.7166874952810826
673,270421224.9013567,184136.3893720996,-1.1753743537337094,0.08153287877176109
75,9745308632.452229,30361599.010939896,-0.6149158039818099,3.395007693957032
727,1658299608.3931952,1865362.7985807,-0.6291203410678461,0.22747842589158118
1379,97803976.18562667,54034.41509086565,-1.2867239186027581,0.05612147699602535
1622,104864110.06508312,57727.570934171585,-1.0271791512043968,0.028141117160454244
28,55778745703.07732,158541906.9145597,-0.24198154833024976,5.243540465043074
142,12326794697.88255,36718483.107141554,-0.5196559532559466,2.435258155103523
1657,85594130.40262264,42204.396200210365,-1.1344005745362506,0.028256324760895506
1625,163048978.18532908,113578.31155903699,-0.8108649533126877,0.03178191435251259
1779,348861622.4357803,95143.46163207258,-0.7711748214482244,3.488616224357804e-05
719,3337470798.5357785,1518426.7260165373,-0.4750302168891818,0.07588215364699646
985,67686182.29269871,32529.894588906813,-1.3601588212657318,6.768618229269873e-06
