,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
6145,280444908.434396,443817779.14346874,1670612773.4859645,5353457224.2439165,8053060738.882663,10047814414.685017,11729079145.310225,13041909175.74444,13791373261.546387,15406220130.303621,11853368842.51893,6503458393.310565,3473140396.580394,4241194267.9868217,3322883517.032406,109571582327.11035,189829050367.24936,139287907902.86166,72949290143.86507,28929474452.874302,0.0
9722,1947816060.1674597,2594583379.992133,7140734675.520782,20287684094.86027,28712181329.147625,35931377729.54156,42853849222.557205,48461990507.23972,51253895568.00907,58389992773.85811,45823157196.25871,26934272392.264126,14898083105.69104,44379569168.82801,37532735472.92904,1204761271862.8923,1993006708128.9883,1436980673916.7808,747950323609.0239,295611574244.6302,0.0
7419,3134519536.2558107,4804461694.498661,20909455651.98799,71371267103.80615,110561264755.97467,141618454723.21014,172994445669.88803,200964778573.55746,220524356432.48813,253887413211.47037,207518437344.46677,228102314404.16302,135190730267.2172,2288314177789.5176,3060930505019.5386,23265097098117.906,16931663860488.357,7738665629834.901,3277132687201.7275,1131093043265.7932,0.0
6501,507453319.391299,1278602155.0970652,9636017983.209438,38655792882.80092,66629856485.380714,90007129156.19394,112679543060.22354,132222553581.22731,148917268804.97443,180890633311.07812,148309372066.42337,87701301666.11794,50226121436.05548,78959520623.52682,66311946767.80628,3723826241143.1772,4393111842601.006,2577726400489.351,1219520442825.388,452726707345.8635,0.0
12929,38885917.3152419,107636430.89020473,727499727.6396966,2644200884.036965,4330071795.989974,5544822394.396068,6510542724.378945,7242552095.653552,7704717821.317916,8650578717.577736,6544855393.0743475,3418777183.661854,1834558052.7539124,879581053.3555518,581704629.3816252,21406582561.79891,41280045126.564384,32082682286.323338,17284634318.248096,6985714250.619329,0.0
10822,13364909307.61502,10376516732.213755,8784133481.494272,11724454739.5787,12147818267.721516,12967925617.82254,13622461056.21919,14769045418.059546,15101038234.798763,15560964472.235258,12748913203.773819,28094121093.840828,16131408557.80356,402111074377.25696,497389998054.0303,2950026442667.165,2270514352137.7974,1097508430792.897,479574557490.2299,169585033018.0488,0.0
5057,50552417241.93766,50872576475.081764,84253013425.69615,202016342847.66016,274572702470.53976,340673230452.7789,404972287729.36914,459195891861.98346,504768185501.969,588537054375.3645,481037972085.8317,432516066703.0083,248867767863.34888,3023294760381.8296,3490771748752.164,52784455788960.14,54655799332092.79,30432909545554.79,14040967466187.367,5120880014728.811,0.0
7678,423764955.3927049,1232268467.319085,8007457826.422253,30584823909.163326,49726711115.15211,65120357030.11609,79683854322.45259,92494852462.10565,106832230075.84624,129332553187.04068,108749026218.31247,98458680043.93425,60178972731.56194,671145451265.4493,912620626758.1599,14545006869588.553,9867498141747.814,4206406654322.5166,1716766449626.308,577333846076.785,0.0
6612,31759081444.835674,29227838280.307983,40525577374.286674,78655097416.24901,93118958734.11317,104303805534.96371,115184327245.74979,124084917515.30437,128032815276.57559,137283505353.5255,109372864993.44754,128971952698.40852,73325779968.32948,1253624921615.0598,1356472732354.6829,12489704040555.697,12465891431073.463,7118546622916.205,3365061323623.2495,1252979849932.7275,0.0
10305,847412524.7437692,1234200281.9639034,3144053779.2825055,8602873708.747515,11019993337.021158,12985614756.795938,14553402676.668785,15751891706.112143,16052092451.22287,17260207259.21336,13054288812.591702,7140477226.655399,3805024092.3497505,6449642422.194106,5210874116.715265,151606431809.57886,271051102029.55594,203872477586.2222,108169078751.70702,43292822817.56278,0.0
6899,4215307842.957067,4898736883.0878935,8999265347.573511,21226919869.535248,27534305747.755215,33031035415.528614,37961284683.79864,41521167976.23437,43074235531.50036,47502153725.09316,36516527177.02527,23211439628.81931,12787062306.175863,67464037803.957115,63401382964.83168,1337274706496.7942,1748398483317.83,1142291610025.8438,571667917913.9408,220611322242.90503,0.0
12859,62670861.365039125,171015989.9970855,934173120.9669006,3289992983.693938,5088497208.995183,6389080864.857205,7420426698.444357,8231412298.308159,8726058673.626266,9685917637.548843,7359568923.962484,3873947775.6629047,2064360492.671368,752586951.6286042,451140023.4602626,14329954400.631386,27587173864.563763,21432638153.0785,11545147201.514545,4665733378.295104,0.0
7915,2151610016.6892743,2476524007.4331207,6786926807.177798,18842369817.09901,27802056989.610935,34561145465.72597,40263942366.50765,44694913205.630974,47231617463.906105,52516694758.957466,40271938395.87217,23363791911.606243,12737243148.489395,38904696304.549324,36015284920.916176,863907669302.0522,1187417679496.0957,798350220912.9266,405348293822.3324,158043954211.74966,0.0
14395,39040178.50054948,78834695.94350438,361442485.136916,1192939924.4990933,1832720461.469181,2282575874.5519223,2626412971.734826,2881992730.9896793,3027000751.9060984,3333375407.9123626,2497744697.268701,1294401873.5333393,691451800.614181,298436100.27939343,191856320.31317708,5598956588.912475,10652035598.73043,8252742366.423044,4440244011.493918,1793369244.3384998,0.0
4497,92103837259.73874,88330454410.7111,138690003837.78513,310303248979.06934,408939685667.909,491429695763.0351,570079326072.1228,636521589393.5996,689864512906.0187,798175412018.9495,665516882523.0079,586290802200.0807,348039777013.03015,3731288789898.313,3956110533763.456,73032093392260.75,78802789042335.8,45073573747744.9,21115893888077.332,7791458036535.246,0.0
4702,13587785493.855974,16328496402.174734,55351662232.277824,187449343767.35214,339222735949.2249,483611191767.68536,638159945790.111,777779312434.3497,923286539781.726,1187180238868.8784,1030425586578.3954,870806425139.8358,525660712657.63605,5111401401646.574,5762070488734.586,104003245703994.5,104894457707705.78,56872616700514.22,25859466628080.7,9331393334249.139,0.0
8761,2170406120.84562,2685543753.8074718,5630998218.408971,14590662423.318697,19153231640.149834,22682720707.605164,25469427697.744007,27647429443.14792,28503256387.230072,30834956428.463203,23344276967.832867,13291477103.177158,7115888538.070101,20010843098.70978,17043805706.163399,529662361014.9442,735541281737.623,478899478098.3359,237596114820.03394,90990922283.17047,0.0
