,mass,dustmass,logmet,sfr100
6145,267567276.674663,2812444.6970602744,-0.4673976873830138,0.020022675940420606
9722,1132616929.5175443,10328118.104631912,-0.3525009470798711,0.11678913748039368
7419,5270951219.571295,30729008.211899493,-0.12283146856796968,0.4563023221181854
6501,4718755224.206628,39375887.453703515,-0.19133321397910538,0.11947675538312606
12929,238071701.90388867,2312115.1041795574,-0.6039822197190265,2.3807170190388825e-05
10822,155951038.1727359,1969689.20010107,-0.7776998444344515,0.09038564905403257
5057,9646459820.088346,85446617.79153922,-0.11028279830196418,1.394541747290348
7678,2379973169.315542,19523722.530304,-0.20257212099032543,0.29342751733242944
6612,1718037623.2285988,19632956.02176037,-0.4007067074551076,0.392335278382188
10305,270258624.61025274,3279201.6681882828,-0.5511212073557358,0.03410609815142719
6899,625802113.3587784,7423014.3708943995,-0.44924780845523626,0.13351390674271374
12859,228195641.12140632,2440148.512784647,-0.6066111026216795,2.2819564112140642e-05
7915,912306418.4187999,10508771.691875856,-0.4745232452932895,0.0660501670786179
14395,84361601.96380846,794026.2102524547,-0.7233968970371214,8.436160196380855e-06
4497,12605956503.786777,133973330.74871802,-0.16127707561314877,2.4461560457771534
4702,26422466803.5522,173708144.6623019,-0.005110237141104113,2.1824817048375866
8761,485646430.35718596,5531288.0403705705,-0.5072486389744425,0.10291354579684361
9191,341501460.73946685,4460946.081454459,-0.6020530017288637,0.06076350823447666
3411,2281190167.352028,16898157.570018247,-0.30571542221379105,0.8654231322286748
5906,9702335114.54548,87037298.57549816,-0.15558379238771133,1.8255924713681773
11613,83706428.91372435,1008765.5608157143,-0.9300915375031749,0.016070959708585433
11114,157731448.1106943,1842790.0015131468,-0.7025620651176511,0.014878375818770998
6880,3506886950.787738,24946176.951125592,-0.2364965037589582,0.31959515178850095
12814,55490327.691167146,788260.4041363952,-0.8805007242329499,0.01450932977683512
6316,10829643651.102894,51671461.57450208,-0.00887614200284141,0.4327574350817655
3354,2477213141.955545,18669504.154936947,-0.23048312815570443,0.33063012946907794
3473,432172537.9988165,2499817.996741439,-0.5085581467128617,4.321725379988166e-05
9161,707404394.5939827,8796650.720916381,-0.4584494169429907,0.08961266063358693
11736,231648020.7920578,2455636.094274021,-0.5969993455115978,0.014586434063351498
11719,63693931.34094662,664283.0835840113,-0.7528221624165028,0.034153932432157266
2372,2975488664.3202143,30659795.674884133,-0.3333133918934112,0.4424910035747303
793,3140897909.3475347,31694063.60380854,-0.25105836127283665,0.5141808296436231
7420,2967882115.3173676,30881955.881641537,-0.1992053330433172,0.32837956698268134
12860,172031137.28453863,2041960.4932085327,-0.7194750957176199,1.7203113728453854e-05
4890,34018484884.79439,48976620.880012736,0.004134979469951811,0.0034018484884794447
10878,87241687.4504462,1080338.6422875067,-0.934457757119721,0.07551974192583386
14504,80659463.34035334,713439.2619920671,-0.8914969123920121,8.065946334035331e-06
12596,142069542.63796392,1572566.984819441,-0.7573976375971645,0.017385495158711572
10030,669325793.4852325,7835211.137075152,-0.40745954599902473,0.13334213004378637
14717,50585648.16452129,418612.04129127966,-0.8678107848634027,0.01974427776064004
13843,195950134.36241835,1357846.712946712,-0.5815665191246504,0.014760300477682883
1602,5743602870.938965,16043807.409065396,-0.15029310098617793,0.148723829996491
9929,388189935.3312427,4553313.2344012875,-0.49880489627732805,0.04451930489356471
5447,346141542.47895205,3399428.310224627,-0.6071569473391447,0.032466480755269436
12791,59360829.143559344,796164.2575423853,-0.8220136491639835,5.936082914355932e-06
5279,16230576516.314924,119663622.85548253,-0.13054478654539314,1.3511906404959577
12625,68508423.95515186,954985.1307580785,-0.8704856535366401,6.850842395515186e-06
12079,378448435.79362845,4234743.790615906,-0.4776403875517451,3.7844843579362924e-05
8460,1311523256.6097522,13711737.053486038,-0.4115005744895734,0.2897833588747184
10105,971218641.8382725,8689236.17363572,-0.3032917180542482,0.15173748808233645
7860,3532403282.0383015,27127362.24149082,-0.15436631801855144,0.33500159513702166
11934,93959617.72953911,1400399.9784125085,-0.7447473415782537,0.05420129499755032
8450,1516232937.0740278,17541993.11677345,-0.32962016149597373,0.6670991780818862
8614,591918558.2805169,8710260.36030563,-0.48895141391039676,0.1463018523926749
4536,23623122603.01145,179581305.76303548,-0.02423810649464411,4.368880893893958
4477,22857863057.07052,243420606.4042597,-0.1014561364352575,2.9977781959024257
11964,331646082.8117114,4542220.321132218,-0.43952801560160876,0.13641545756699597
8821,762484314.8820448,7170372.732994045,-0.4075381368087243,0.052006114502019966
5636,13215800189.560959,100823727.04647742,-0.0781463347052871,0.8168434918768875
7944,3663187407.4265146,33448718.826919943,-0.17856087708242066,0.11417551641609756
5276,19448020716.010292,118562188.14160714,-0.07480515985527544,0.5642882626680891
14782,68542140.51073024,667388.3074872951,-0.8875053923517383,6.854214051073019e-06
4833,24296706688.41817,194591067.9915211,-0.05216398940513723,3.3160244017521667
13962,61133569.54658309,692925.5115600474,-0.827204942926836,0.03965067005303807
10612,727117979.9527626,8491278.814641563,-0.35261173532615314,0.13697298723756476
2463,22063501811.245415,167154820.26062334,-0.0453373828185836,2.9652607422620374
